date,platform,followers,impressions,reach,likes,comments,shares,saves,posts_count
2026-04-04,instagram,85264,38385,29424,2046,190,305,215,1
2026-04-05,instagram,85342,24540,16945,1380,95,127,293,0
2026-04-06,instagram,85521,33503,18867,1397,67,278,318,3
2026-04-07,instagram,85632,30965,17115,1588,72,290,312,2
2026-04-08,instagram,85750,46610,34933,2465,122,366,234,0
2026-04-09,instagram,85900,44729,35141,1736,180,384,450,3
2026-04-10,instagram,86035,26182,16164,1410,98,185,181,1
2026-04-11,instagram,86148,38850,21792,2006,132,382,205,0
2026-04-12,instagram,86180,30279,20248,921,95,138,241,0
2026-04-13,instagram,86236,41990,31207,2288,201,319,395,0
2026-04-14,instagram,86381,43416,34458,2428,213,426,375,0
2026-04-15,instagram,86456,37764,25118,1182,149,210,323,1
2026-04-16,instagram,86541,22254,13863,761,49,214,168,1
2026-04-17,instagram,86674,41428,26533,2316,189,166,428,3
2026-04-18,instagram,86734,38883,27704,1705,103,243,226,3
2026-04-19,instagram,86771,30413,23678,1059,138,234,261,0
2026-04-20,instagram,86888,25640,19570,860,92,190,152,3
2026-04-21,instagram,86884,33213,22424,1373,67,309,350,3
2026-04-22,instagram,86928,42200,32898,2029,131,372,353,3
2026-04-23,instagram,86985,36868,21681,1123,76,334,327,1
2026-04-24,instagram,87064,39425,24266,2281,86,329,318,3
2026-04-25,instagram,87166,41457,26931,1534,182,409,449,1
2026-04-26,instagram,87227,23906,18336,1357,87,179,199,0
2026-04-27,instagram,87323,35369,23998,1212,152,310,411,1
2026-04-28,instagram,87475,47265,28561,1473,140,367,419,3
2026-04-29,instagram,87602,33048,22817,1126,150,238,252,0
2026-04-30,instagram,87755,36457,28761,1929,104,181,385,1
2026-05-01,instagram,87880,23887,13890,1365,53,183,121,0
2026-05-02,instagram,87936,37342,22686,1342,185,266,187,3
2026-05-03,instagram,88014,45857,29760,1974,165,219,396,2
2026-05-04,instagram,88153,33954,25587,1071,126,154,256,1
2026-05-05,instagram,88232,36472,27786,2096,120,320,402,3
2026-05-06,instagram,88354,34563,22193,1407,124,296,275,0
2026-05-07,instagram,88507,26988,17315,1344,133,120,248,2
2026-05-08,instagram,88672,34688,22776,1422,96,331,221,1
2026-05-09,instagram,88816,28540,18079,1348,58,114,208,0
2026-05-10,instagram,88808,31700,17819,1546,148,230,293,3
2026-05-11,instagram,88882,36072,26607,1371,133,159,365,3
2026-05-12,instagram,88936,25630,16662,802,60,134,282,2
2026-05-13,instagram,89038,42022,26397,2019,170,299,436,3
2026-05-14,instagram,89160,22292,14948,1047,85,107,199,0
2026-05-15,instagram,89244,26372,17948,849,119,122,163,3
2026-05-16,instagram,89330,49076,36706,1655,160,313,407,2
2026-05-17,instagram,89320,22588,17089,1108,45,163,265,3
2026-05-18,instagram,89424,33946,23741,1912,93,229,245,3
2026-05-19,instagram,89556,44023,26845,2107,201,235,299,2
2026-05-20,instagram,89643,28443,20655,1664,87,119,178,3
2026-05-21,instagram,89789,39555,30643,1915,105,198,395,0
2026-05-22,instagram,89882,35908,24845,1615,114,338,409,1
2026-05-23,instagram,89939,48948,35512,2634,119,276,410,2
2026-05-24,instagram,89935,31595,20307,957,80,237,236,3
2026-05-25,instagram,89997,49342,34747,2837,220,357,251,3
2026-05-26,instagram,90099,34557,25148,1958,161,177,396,3
2026-05-27,instagram,90231,36327,26701,1471,141,276,338,3
2026-05-28,instagram,90335,23379,17636,1149,85,96,122,2
2026-05-29,instagram,90515,26051,20342,1181,61,190,153,3
2026-05-30,instagram,90572,27905,15760,848,82,224,216,3
2026-03-02,linkedin,22400,9331,,346,29,19,,3
2026-03-03,linkedin,22431,5775,,152,20,36,,0
2026-03-04,linkedin,22455,11333,,484,15,37,,2
2026-03-05,linkedin,22472,11973,,468,17,49,,3
2026-03-06,linkedin,22514,6672,,241,12,19,,3
2026-03-07,linkedin,22538,9615,,442,24,51,,2
2026-03-08,linkedin,22556,11315,,486,30,41,,3
2026-03-09,linkedin,22600,10995,,224,30,41,,1
2026-03-10,linkedin,22632,8473,,332,25,34,,3
2026-03-11,linkedin,22654,7617,,358,16,36,,1
2026-03-12,linkedin,22659,9872,,384,35,19,,3
2026-03-13,linkedin,22689,5083,,248,17,19,,2
2026-03-14,linkedin,22687,8075,,208,31,42,,1
2026-03-15,linkedin,22720,7506,,282,22,44,,1
2026-03-16,linkedin,22757,4805,,205,11,25,,1
2026-03-17,linkedin,22799,9365,,357,12,53,,2
2026-03-18,linkedin,22827,6868,,173,11,46,,2
2026-03-19,linkedin,22870,11232,,396,17,33,,1
2026-03-20,linkedin,22905,5015,,145,6,26,,1
2026-03-21,linkedin,22946,10390,,297,24,32,,1
2026-03-22,linkedin,22980,10301,,461,16,36,,3
2026-03-23,linkedin,23004,10832,,304,27,36,,0
2026-03-24,linkedin,23027,5542,,181,9,12,,0
2026-03-25,linkedin,23026,8363,,351,25,29,,3
2026-03-26,linkedin,23056,9909,,242,33,44,,0
2026-03-27,linkedin,23079,6237,,178,24,33,,2
2026-03-28,linkedin,23098,6106,,164,14,36,,0
2026-03-29,linkedin,23141,8133,,238,15,32,,2
2026-03-30,linkedin,23174,9828,,381,22,47,,0
2026-03-31,linkedin,23173,6011,,265,8,18,,3
2026-04-01,linkedin,23180,4759,,132,8,16,,3
2026-04-02,linkedin,23221,7880,,305,9,19,,1
2026-04-03,linkedin,23250,11884,,534,23,74,,1
2026-04-04,linkedin,23273,8029,,345,15,31,,3
2026-04-05,linkedin,23313,8081,,168,24,19,,1
2026-04-06,linkedin,23342,7237,,267,9,20,,0
2026-04-07,linkedin,23352,6909,,272,18,46,,3
2026-04-08,linkedin,23397,12426,,506,13,80,,3
2026-04-09,linkedin,23417,9066,,278,32,53,,0
2026-04-10,linkedin,23436,8185,,229,21,45,,3
2026-04-11,linkedin,23454,5194,,245,10,26,,2
2026-04-12,linkedin,23484,9804,,371,35,24,,1
2026-04-13,linkedin,23511,12823,,554,44,51,,3
2026-04-14,linkedin,23523,6906,,249,13,22,,3
2026-04-15,linkedin,23545,8075,,333,10,27,,2
2026-04-16,linkedin,23574,6974,,144,26,24,,0
2026-04-17,linkedin,23573,9467,,434,11,20,,1
2026-04-18,linkedin,23607,5636,,267,10,34,,3
2026-04-19,linkedin,23647,8246,,206,18,33,,1
2026-04-20,linkedin,23686,7382,,216,17,42,,1
2026-04-21,linkedin,23697,6660,,162,11,21,,0
2026-04-22,linkedin,23742,7821,,162,25,43,,1
2026-04-23,linkedin,23771,12240,,367,42,38,,2
2026-04-24,linkedin,23769,11313,,252,43,62,,1
2026-04-25,linkedin,23804,11307,,270,26,49,,3
2026-04-26,linkedin,23819,6510,,272,10,42,,0
2026-04-27,linkedin,23826,9995,,365,24,33,,3
2026-04-28,linkedin,23867,4815,,236,14,29,,0
2026-04-29,linkedin,23882,11863,,365,40,24,,0
2026-04-30,linkedin,23915,10734,,398,29,66,,0
2026-05-01,linkedin,23955,10745,,248,34,37,,0
2026-05-02,linkedin,23962,12220,,372,33,29,,1
2026-05-03,linkedin,23987,6268,,293,6,14,,1
2026-05-04,linkedin,24007,12742,,385,49,77,,3
2026-05-05,linkedin,24022,12658,,612,23,79,,2
2026-05-06,linkedin,24045,12081,,452,12,62,,0
2026-05-07,linkedin,24053,11880,,312,23,28,,2
2026-05-08,linkedin,24090,9894,,474,36,34,,0
2026-05-09,linkedin,24128,5915,,118,19,12,,0
2026-05-10,linkedin,24146,7449,,316,20,26,,2
2026-05-11,linkedin,24190,12159,,252,42,65,,0
2026-05-12,linkedin,24235,5956,,232,6,27,,2
2026-05-13,linkedin,24248,5465,,152,5,22,,1
2026-05-14,linkedin,24255,8196,,305,10,40,,3
2026-05-15,linkedin,24298,6718,,180,12,19,,0
2026-05-16,linkedin,24343,12888,,260,38,31,,1
2026-05-17,linkedin,24363,5696,,177,17,29,,3
2026-05-18,linkedin,24389,11257,,485,31,72,,2
2026-05-19,linkedin,24409,9647,,270,23,34,,0
2026-05-20,linkedin,24453,7566,,275,15,50,,3
2026-05-21,linkedin,24460,13176,,642,13,33,,3
2026-05-22,linkedin,24476,8321,,390,16,25,,2
2026-05-23,linkedin,24508,13095,,593,21,42,,0
2026-05-24,linkedin,24518,8217,,336,20,44,,2
2026-05-25,linkedin,24535,7286,,247,17,17,,0
2026-05-26,linkedin,24554,12561,,613,23,69,,0
2026-05-27,linkedin,24559,12485,,508,43,37,,0
2026-05-28,linkedin,24572,11867,,436,30,43,,1
2026-05-29,linkedin,24594,7153,,309,14,33,,2
2026-05-30,linkedin,24634,9893,,248,11,48,,2
2026-03-02,tiktok,215000,238912,,17291,759,1475,,0
2026-03-03,tiktok,215301,280923,,16606,1456,2153,,1
2026-03-04,tiktok,215560,219145,,12278,1091,1076,,2
2026-03-05,tiktok,216121,274370,,20230,628,1371,,2
2026-03-06,tiktok,216552,473213,,23379,1440,3615,,2
2026-03-07,tiktok,216829,205134,,10021,1008,1482,,3
2026-03-08,tiktok,217221,268024,,11418,1075,1265,,1
2026-03-09,tiktok,217806,465711,,30996,2683,3469,,0
2026-03-10,tiktok,218285,324566,,23621,1801,1503,,3
2026-03-11,tiktok,218647,345034,,14259,1290,2271,,2
2026-03-12,tiktok,218832,275499,,18035,1322,1106,,3
2026-03-13,tiktok,219231,306485,,15906,1154,2315,,1
2026-03-14,tiktok,219817,201352,,12170,944,1053,,1
2026-03-15,tiktok,220157,364298,,27835,1758,1149,,2
2026-03-16,tiktok,220503,216960,,10182,1294,1249,,2
2026-03-17,tiktok,221098,321825,,13579,1590,1592,,1
2026-03-18,tiktok,221628,385441,,22100,1390,3050,,2
2026-03-19,tiktok,221995,439649,,20650,2291,2037,,3
2026-03-20,tiktok,222176,304427,,23437,1801,2353,,1
2026-03-21,tiktok,222483,300032,,13683,870,1610,,3
2026-03-22,tiktok,222617,367231,,15992,1798,1801,,0
2026-03-23,tiktok,222744,291485,,15855,995,1935,,0
2026-03-24,tiktok,223061,353935,,20772,1075,2826,,3
2026-03-25,tiktok,223032,192543,,13343,832,620,,2
2026-03-26,tiktok,223418,395295,,28419,1592,1348,,0
2026-03-27,tiktok,223670,290461,,11821,1586,1186,,0
2026-03-28,tiktok,224238,195768,,13760,438,863,,0
2026-03-29,tiktok,224662,359509,,24396,1854,2325,,3
2026-03-30,tiktok,225044,263253,,20205,1339,1868,,0
2026-03-31,tiktok,225422,487843,,38268,2095,2581,,2
2026-04-01,tiktok,225705,342160,,25881,1919,1373,,1
2026-04-02,tiktok,226018,472528,,32831,1718,2382,,2
2026-04-03,tiktok,226217,182580,,10046,997,1278,,2
2026-04-04,tiktok,226491,202978,,12392,1031,809,,0
2026-04-05,tiktok,226984,253552,,11159,1423,1299,,0
2026-04-06,tiktok,227434,472030,,36868,2705,2794,,3
2026-04-07,tiktok,227798,400301,,28677,2015,2854,,1
2026-04-08,tiktok,228288,423279,,29071,1564,1388,,3
2026-04-09,tiktok,228427,501166,,33498,1094,1629,,2
2026-04-10,tiktok,228597,226242,,9808,981,1801,,1
2026-04-11,tiktok,229143,303740,,12491,684,2300,,1
2026-04-12,tiktok,229397,319878,,24507,712,2403,,2
2026-04-13,tiktok,229786,402609,,25024,1086,1326,,0
2026-04-14,tiktok,230178,407737,,29287,865,2884,,3
2026-04-15,tiktok,230691,486712,,31144,2068,3692,,1
2026-04-16,tiktok,231217,329041,,16131,703,1558,,1
2026-04-17,tiktok,231471,283459,,18901,1341,1917,,2
2026-04-18,tiktok,231940,280085,,16593,983,2183,,2
2026-04-19,tiktok,232163,322865,,22225,751,1547,,3
2026-04-20,tiktok,232297,441103,,21770,2167,2476,,0
2026-04-21,tiktok,232830,191668,,12452,838,883,,3
2026-04-22,tiktok,233303,454155,,31243,1398,1630,,0
2026-04-23,tiktok,233511,458259,,33142,2080,2365,,3
2026-04-24,tiktok,234131,217110,,16661,563,1038,,0
2026-04-25,tiktok,234104,262680,,16553,1466,1656,,2
2026-04-26,tiktok,234605,435414,,22006,1011,2965,,0
2026-04-27,tiktok,234727,287704,,20810,1720,2142,,3
2026-04-28,tiktok,235007,430781,,28858,2288,2252,,3
2026-04-29,tiktok,235599,516205,,33509,2918,2863,,3
2026-04-30,tiktok,235585,454703,,22151,1925,2401,,3
2026-05-01,tiktok,235779,199690,,9544,852,1267,,3
2026-05-02,tiktok,236081,192684,,9752,941,1143,,3
2026-05-03,tiktok,236363,272923,,19733,612,1472,,1
2026-05-04,tiktok,236941,440106,,20193,1526,2108,,0
2026-05-05,tiktok,237282,270356,,11109,1579,1277,,3
2026-05-06,tiktok,237766,232098,,17928,724,1361,,3
2026-05-07,tiktok,237966,398970,,20312,2297,3078,,2
2026-05-08,tiktok,238480,246693,,19692,905,1171,,1
2026-05-09,tiktok,238730,247882,,14076,706,1064,,2
2026-05-10,tiktok,238678,273711,,20936,885,1204,,2
2026-05-11,tiktok,239292,330915,,18088,1741,2295,,3
2026-05-12,tiktok,239569,405497,,32058,1487,2843,,0
2026-05-13,tiktok,240053,345821,,22775,879,2152,,3
2026-05-14,tiktok,240358,345459,,25775,1937,1694,,0
2026-05-15,tiktok,240711,301795,,13292,1460,2312,,3
2026-05-16,tiktok,241015,517728,,35873,2837,3995,,3
2026-05-17,tiktok,241519,225575,,12332,792,1592,,2
2026-05-18,tiktok,242009,516752,,40457,2043,2959,,2
2026-05-19,tiktok,242484,464128,,34797,1329,1641,,0
2026-05-20,tiktok,242996,506681,,30443,1160,2951,,0
2026-05-21,tiktok,243373,233335,,15689,782,917,,3
2026-05-22,tiktok,243861,270510,,17996,879,844,,0
2026-05-23,tiktok,244040,343838,,27088,1699,1509,,0
2026-05-24,tiktok,244413,265442,,14335,1173,1251,,3
2026-05-25,tiktok,244692,219256,,13967,636,935,,2
2026-05-26,tiktok,245289,212133,,13002,1231,856,,3
2026-05-27,tiktok,245444,210182,,10197,1102,965,,0
2026-05-28,tiktok,245827,345878,,24589,1810,2050,,0
2026-05-29,tiktok,246135,303307,,20689,753,2265,,3
2026-05-30,tiktok,246695,203636,,8914,1041,1067,,3
2026-03-02,x,31200,30810,,514,39,219,,1
2026-03-03,x,31257,17786,,255,46,39,,0
2026-03-04,x,31275,21329,,544,21,91,,0
2026-03-05,x,31314,19526,,405,52,83,,1
2026-03-06,x,31326,35459,,439,64,244,,0
2026-03-07,x,31335,12941,,147,12,34,,0
2026-03-08,x,31386,23095,,415,25,132,,2
2026-03-09,x,31424,34364,,438,34,223,,3
2026-03-10,x,31474,31276,,872,67,159,,3
2026-03-11,x,31523,19857,,569,24,102,,2
2026-03-12,x,31580,27504,,665,44,187,,2
2026-03-13,x,31598,31831,,676,74,170,,0
2026-03-14,x,31618,17568,,363,19,95,,0
2026-03-15,x,31644,25865,,667,53,135,,2
2026-03-16,x,31653,32878,,420,39,172,,2
2026-03-17,x,31693,14556,,269,35,93,,2
2026-03-18,x,31751,22281,,403,50,176,,1
2026-03-19,x,31759,13970,,410,30,100,,1
2026-03-20,x,31799,35623,,996,85,115,,3
2026-03-21,x,31838,29568,,622,74,220,,3
2026-03-22,x,31836,27886,,719,47,76,,0
2026-03-23,x,31875,12762,,333,12,68,,0
2026-03-24,x,31898,19815,,459,48,91,,3
2026-03-25,x,31935,13802,,160,36,87,,3
2026-03-26,x,31976,19941,,572,56,113,,2
2026-03-27,x,32017,29866,,778,56,121,,1
2026-03-28,x,32034,19195,,533,44,149,,0
2026-03-29,x,32033,28981,,830,43,150,,3
2026-03-30,x,32032,23638,,488,38,105,,0
2026-03-31,x,32046,24869,,266,48,125,,3
2026-04-01,x,32063,37159,,765,96,173,,1
2026-04-02,x,32070,36926,,1025,61,265,,2
2026-04-03,x,32122,35604,,1033,37,166,,0
2026-04-04,x,32167,18359,,539,34,113,,0
2026-04-05,x,32195,25570,,570,74,139,,3
2026-04-06,x,32233,37685,,402,62,204,,1
2026-04-07,x,32255,21160,,229,37,151,,2
2026-04-08,x,32281,36121,,927,72,187,,1
2026-04-09,x,32326,27170,,748,72,68,,0
2026-04-10,x,32385,36754,,392,59,239,,1
2026-04-11,x,32393,34386,,892,28,151,,0
2026-04-12,x,32405,37620,,1042,106,238,,1
2026-04-13,x,32455,16742,,230,44,79,,1
2026-04-14,x,32487,13634,,335,25,70,,1
2026-04-15,x,32508,35473,,546,33,279,,2
2026-04-16,x,32546,37592,,587,106,124,,2
2026-04-17,x,32552,36783,,689,57,144,,1
2026-04-18,x,32562,26791,,662,76,169,,3
2026-04-19,x,32578,37408,,724,44,122,,1
2026-04-20,x,32612,32558,,635,90,116,,0
2026-04-21,x,32656,22639,,589,61,138,,3
2026-04-22,x,32710,27250,,300,24,106,,0
2026-04-23,x,32765,14213,,308,38,38,,3
2026-04-24,x,32825,35216,,755,92,120,,0
2026-04-25,x,32833,14374,,374,20,78,,0
2026-04-26,x,32856,17583,,492,18,74,,1
2026-04-27,x,32891,15299,,456,31,69,,2
2026-04-28,x,32911,34918,,921,92,225,,2
2026-04-29,x,32963,17132,,451,33,76,,3
2026-04-30,x,32993,16893,,173,17,68,,1
2026-05-01,x,33021,20855,,505,33,128,,1
2026-05-02,x,33059,21555,,378,54,143,,2
2026-05-03,x,33110,25217,,362,73,114,,3
2026-05-04,x,33122,23476,,529,46,98,,0
2026-05-05,x,33129,29294,,343,72,150,,0
2026-05-06,x,33174,13607,,287,37,60,,3
2026-05-07,x,33214,34094,,751,53,69,,3
2026-05-08,x,33234,14444,,424,26,30,,2
2026-05-09,x,33273,13562,,238,19,95,,0
2026-05-10,x,33331,34562,,382,56,127,,3
2026-05-11,x,33364,30056,,792,76,146,,3
2026-05-12,x,33364,31355,,726,35,223,,1
2026-05-13,x,33391,26704,,635,65,205,,0
2026-05-14,x,33419,36152,,992,54,160,,0
2026-05-15,x,33447,37292,,632,39,283,,3
2026-05-16,x,33507,21246,,214,44,99,,3
2026-05-17,x,33566,25965,,281,43,58,,2
2026-05-18,x,33626,34285,,1003,27,182,,0
2026-05-19,x,33662,33028,,736,34,211,,0
2026-05-20,x,33706,38042,,863,56,174,,3
2026-05-21,x,33756,19433,,442,51,140,,0
2026-05-22,x,33766,29421,,347,30,89,,1
2026-05-23,x,33825,17433,,230,30,42,,1
2026-05-24,x,33861,24759,,534,38,155,,1
2026-05-25,x,33895,25810,,383,46,129,,1
2026-05-26,x,33923,25214,,425,48,107,,3
2026-05-27,x,33967,19027,,223,46,151,,1
2026-05-28,x,34016,19897,,404,44,68,,1
2026-05-29,x,34065,20559,,344,39,139,,0
2026-05-30,x,34104,17045,,405,31,132,,0
2026-03-02,youtube,48500,7379,,305,12,,,0
2026-03-03,youtube,48589,5828,,171,12,,,0
2026-03-04,youtube,48666,14209,,622,41,,,0
2026-03-05,youtube,48697,5621,,119,11,,,3
2026-03-06,youtube,48782,10076,,378,12,,,1
2026-03-07,youtube,48833,9892,,350,20,,,2
2026-03-08,youtube,48912,8266,,236,16,,,0
2026-03-09,youtube,48986,16192,,607,21,,,3
2026-03-10,youtube,49041,8610,,331,17,,,0
2026-03-11,youtube,49056,10371,,331,18,,,1
2026-03-12,youtube,49113,4970,,204,8,,,0
2026-03-13,youtube,49183,13262,,554,18,,,1
2026-03-14,youtube,49206,10247,,366,15,,,0
2026-03-15,youtube,49253,10185,,271,13,,,0
2026-03-16,youtube,49291,15718,,656,30,,,3
2026-03-17,youtube,49361,12019,,294,23,,,0
2026-03-18,youtube,49420,11528,,254,15,,,1
2026-03-19,youtube,49461,12559,,530,23,,,3
2026-03-20,youtube,49521,14810,,515,22,,,1
2026-03-21,youtube,49613,13953,,531,16,,,2
2026-03-22,youtube,49606,8963,,223,17,,,1
2026-03-23,youtube,49689,7436,,283,21,,,3
2026-03-24,youtube,49775,10400,,393,30,,,3
2026-03-25,youtube,49797,14138,,312,16,,,3
2026-03-26,youtube,49821,15569,,648,18,,,2
2026-03-27,youtube,49839,13775,,280,15,,,2
2026-03-28,youtube,49883,17329,,659,19,,,2
2026-03-29,youtube,49924,10340,,438,14,,,0
2026-03-30,youtube,49952,13638,,558,15,,,0
2026-03-31,youtube,50031,11472,,341,25,,,1
2026-04-01,youtube,50113,9434,,257,14,,,3
2026-04-02,youtube,50157,6118,,231,7,,,0
2026-04-03,youtube,50243,12433,,265,24,,,0
2026-04-04,youtube,50268,5946,,165,14,,,1
2026-04-05,youtube,50356,12131,,472,26,,,3
2026-04-06,youtube,50352,15722,,693,32,,,1
2026-04-07,youtube,50434,14227,,605,39,,,2
2026-04-08,youtube,50483,9911,,280,10,,,0
2026-04-09,youtube,50499,16181,,528,37,,,2
