date,platform,followers,impressions,reach,likes,comments,shares,saves,posts_count,follower_growth
2026-04-22,instagram,89709,12063,,129,,,,,61
2026-04-23,instagram,89771,9745,,239,,,,,62
2026-04-24,instagram,89823,13283,,343,,,,,52
2026-04-25,instagram,89897,4775,,114,,,,,74
2026-04-26,instagram,89961,8820,,158,,,,,64
2026-04-27,instagram,90042,3983,,90,,,,,81
2026-04-28,instagram,90097,6372,,204,,,,,55
2026-04-29,instagram,90134,11145,,361,,,,,37
2026-04-30,instagram,90190,16321,,310,,,,,56
2026-05-01,instagram,90228,,,,,,,,
2026-05-02,instagram,90267,,,,,,,,
2026-05-03,instagram,90305,,,,,,,,
2026-05-04,instagram,90343,,,,,,,,
2026-05-05,instagram,90382,,,,,,,,
2026-05-06,instagram,90420,,,,,,,,
2026-05-07,instagram,90458,,,,,,,,
2026-05-08,instagram,90496,,,,,,,,
2026-05-09,instagram,90535,,,,,,,,
2026-05-10,instagram,90573,,,,,,,,
2026-05-11,instagram,90611,,,,,,,,
2026-05-12,instagram,90650,,,,,,,,
2026-05-13,instagram,90688,,,,,,,,
2026-05-14,instagram,90726,,,,,,,,
2026-05-15,instagram,90765,,,,,,,,
2026-05-16,instagram,90803,,,,,,,,
2026-05-17,instagram,90841,,,,,,,,
2026-05-18,instagram,90880,,,,,,,,
2026-05-19,instagram,90918,,,,,,,,
2026-05-20,instagram,90956,,,,,,,,
2026-05-21,instagram,90994,,,,,,,,
2026-05-22,instagram,91033,,,,,,,,
2026-05-23,instagram,91071,,,,,,,,
2026-05-24,instagram,91109,,,,,,,,
2026-05-25,instagram,91148,,,,,,,,
2026-05-26,instagram,91186,,,,,,,,
2026-04-01,linkedin,230354,6801,2769,105,4,0,,,52
2026-04-02,linkedin,230419,6594,2756,94,2,1,,,65
2026-04-03,linkedin,230470,9011,3225,120,2,1,,,51
2026-04-04,linkedin,230505,6783,2538,99,6,1,,,35
2026-04-05,linkedin,230534,9777,3143,163,4,1,,,29
2026-04-06,linkedin,230586,25712,12602,646,8,17,,,52
2026-04-07,linkedin,230663,14710,6801,361,4,3,,,77
2026-04-08,linkedin,230720,10310,4220,205,5,6,,,57
2026-04-09,linkedin,230765,9352,3592,219,2,2,,,45
2026-04-10,linkedin,230853,9420,3681,186,5,1,,,88
2026-04-11,linkedin,230906,11637,5360,238,2,0,,,53
2026-04-12,linkedin,230939,6994,3075,129,4,1,,,33
2026-04-13,linkedin,231009,8384,3416,182,0,1,,,70
2026-04-14,linkedin,231062,6809,2684,132,2,0,,,53
2026-04-15,linkedin,231106,5385,2290,95,3,0,,,44
2026-04-16,linkedin,231180,3448,1498,149,1,0,,,74
2026-04-17,linkedin,231235,6531,2585,86,3,1,,,55
2026-04-18,linkedin,231255,5767,2490,113,2,1,,,20
2026-04-19,linkedin,231312,5797,2571,84,5,0,,,57
2026-04-20,linkedin,231360,6866,2868,110,2,1,,,48
2026-04-21,linkedin,231412,5530,2288,93,0,2,,,52
2026-04-22,linkedin,231481,4738,1878,80,0,3,,,69
2026-04-23,linkedin,231556,3926,1628,66,2,0,,,75
2026-04-24,linkedin,231602,3638,1584,76,1,-1,,,46
2026-04-25,linkedin,231641,2704,1011,44,0,0,,,39
2026-04-26,linkedin,231699,3710,1398,53,2,0,,,58
2026-04-27,linkedin,231806,3819,1491,75,2,1,,,107
2026-04-28,linkedin,231904,4906,2217,77,13,0,,,98
2026-04-29,linkedin,231962,11522,5216,157,13,0,,,58
2026-04-30,linkedin,232032,7629,3457,103,2,0,,,70
2026-05-01,linkedin,232064,10522,2862,111,2,0,,,
2026-05-02,linkedin,232096,19101,2726,75,1,1,,,
2026-05-03,linkedin,232147,18600,2660,86,6,1,,,
2026-05-04,linkedin,232207,16897,2190,82,2,1,,,
2026-05-05,linkedin,232263,14217,1946,58,1,0,,,
2026-05-06,linkedin,232327,11425,1543,52,4,0,,,
2026-05-07,linkedin,232401,12492,1575,50,0,0,,,
2026-05-08,linkedin,232476,10836,1766,79,3,1,,,
2026-05-09,linkedin,232527,6799,3287,67,2,0,,,
2026-05-10,linkedin,232600,4711,2443,57,0,0,,,
2026-05-11,linkedin,232676,4514,2122,47,1,1,,,
2026-05-12,linkedin,232735,4518,1994,49,1,1,,,
2026-05-13,linkedin,232833,4540,1985,54,0,2,,,
2026-05-14,linkedin,232904,5035,2269,51,0,1,,,
2026-05-15,linkedin,232963,3126,1388,28,0,1,,,
2026-05-16,linkedin,233005,2092,897,16,0,0,,,
2026-05-17,linkedin,233058,2224,980,40,0,0,,,
2026-05-18,linkedin,233136,3736,1747,37,2,0,,,
2026-05-19,linkedin,233200,3861,1820,49,1,0,,,
2026-05-20,linkedin,233256,2724,1226,31,1,0,,,
2026-05-21,linkedin,233380,2599,1238,39,1,0,,,
2026-05-22,linkedin,233444,2199,995,38,0,0,,,
2026-05-23,linkedin,233494,1521,635,7,0,-1,,,
2026-05-24,linkedin,233544,1389,537,26,1,0,,,
2026-05-25,linkedin,233545,,,,,,,,
2026-05-26,linkedin,233545,,,,,,,,
2026-04-01,tiktok,75472,1378,,100,0,3,,,-15
2026-04-02,tiktok,75458,1103,,89,0,2,,,-14
2026-04-03,tiktok,75452,576,,48,1,3,,,-6
2026-04-04,tiktok,75430,979,,67,1,3,,,-22
2026-04-05,tiktok,75411,763,,32,0,2,,,-19
2026-04-06,tiktok,75402,844,,55,4,4,,,-9
2026-04-07,tiktok,76428,8099,,1171,2,8,,,1026
2026-04-08,tiktok,77449,10281,,1201,1,12,,,1021
2026-04-09,tiktok,77927,5055,,591,3,4,,,478
2026-04-10,tiktok,78706,8912,,966,0,20,,,779
2026-04-11,tiktok,79555,10913,,1042,5,16,,,849
2026-04-12,tiktok,80270,10006,,853,3,11,,,715
2026-04-13,tiktok,80897,11212,,734,1,10,,,627
2026-04-14,tiktok,81520,11782,,800,2,7,,,623
2026-04-15,tiktok,82088,11571,,749,2,8,,,568
2026-04-16,tiktok,82639,11045,,735,1,6,,,551
2026-04-17,tiktok,83174,11181,,744,0,9,,,535
2026-04-18,tiktok,83277,2125,,152,1,3,,,103
2026-04-19,tiktok,83257,526,,22,0,0,,,-20
2026-04-20,tiktok,83856,10371,,762,-2,16,,,599
2026-04-21,tiktok,84361,10670,,876,2,6,,,505
2026-04-22,tiktok,84338,994,,79,1,1,,,-23
2026-04-23,tiktok,84323,574,,26,0,2,,,-15
2026-04-24,tiktok,84310,673,,22,0,0,,,-13
2026-04-25,tiktok,84305,1677,,101,0,21,,,-5
2026-04-26,tiktok,84283,1018,,55,-1,0,,,-22
2026-04-27,tiktok,84271,779,,39,1,2,,,-12
2026-04-28,tiktok,84266,1895,,167,6,12,,,-5
2026-04-29,tiktok,84244,1593,,81,1,5,,,-22
2026-04-30,tiktok,84850,13740,,1095,0,2,,,606
2026-05-01,tiktok,85887,20405,,1623,2,12,,,
2026-05-02,tiktok,86121,7405,,540,3,3,,,
2026-05-03,tiktok,86097,1328,,46,0,2,,,
2026-05-04,tiktok,86078,735,,34,0,2,,,
2026-05-05,tiktok,86056,715,,40,0,4,,,
2026-05-06,tiktok,86040,747,,51,0,0,,,
2026-05-07,tiktok,86808,15248,,1244,1,2,,,
2026-05-08,tiktok,86783,844,,55,0,6,,,
2026-05-09,tiktok,86770,590,,19,0,3,,,
2026-05-10,tiktok,86756,723,,38,0,3,,,
2026-05-11,tiktok,86737,435,,26,0,3,,,
2026-05-12,tiktok,86724,641,,29,1,4,,,
2026-05-13,tiktok,86700,473,,17,1,0,,,
2026-05-14,tiktok,86692,683,,22,0,1,,,
2026-05-15,tiktok,86677,814,,37,0,3,,,
2026-05-16,tiktok,86665,928,,55,0,3,,,
2026-05-17,tiktok,86657,1188,,59,1,5,,,
2026-05-18,tiktok,86651,1167,,73,0,2,,,
2026-05-19,tiktok,86643,1090,,55,0,2,,,
2026-05-20,tiktok,86624,815,,36,1,1,,,
2026-05-21,tiktok,86610,764,,40,0,1,,,
2026-05-22,tiktok,86607,946,,59,0,7,,,
2026-05-23,tiktok,86601,947,,65,0,2,,,
2026-05-24,tiktok,86605,1018,,68,1,4,,,
2026-05-25,tiktok,86602,,,,,,,,
2026-05-26,tiktok,86599,,,,,,,,
2026-04-01,x,12934,511,,4,0,1,,,4
2026-04-02,x,12936,512,,3,0,2,,,2
2026-04-03,x,12941,585,,4,0,0,,,5
2026-04-04,x,12944,515,,8,3,0,,,3
2026-04-05,x,12948,680,,6,0,2,,,4
2026-04-06,x,12963,1013,,65,2,56,,,15
2026-04-07,x,12969,607,,7,1,0,,,6
2026-04-08,x,12972,358,,4,0,0,,,3
2026-04-09,x,12980,1461,,3,1,2,,,8
2026-04-10,x,12984,456,,2,0,0,,,4
2026-04-11,x,12987,464,,7,0,1,,,3
2026-04-12,x,12989,304,,1,0,1,,,2
2026-04-13,x,12994,615,,10,2,2,,,5
2026-04-14,x,13001,271,,1,0,0,,,7
2026-04-15,x,13002,449,,5,2,0,,,1
2026-04-16,x,13005,435,,4,1,0,,,3
2026-04-17,x,13006,329,,3,0,1,,,1
2026-04-18,x,13009,522,,2,0,0,,,3
2026-04-19,x,13015,171,,1,0,0,,,6
2026-04-20,x,13015,235,,3,0,0,,,0
2026-04-21,x,13017,471,,4,1,0,,,2
2026-04-22,x,13019,310,,0,0,0,,,2
2026-04-23,x,13023,337,,2,0,0,,,4
2026-04-24,x,13027,240,,0,0,0,,,4
2026-04-25,x,13033,239,,0,0,0,,,6
2026-04-26,x,13036,276,,4,1,0,,,3
2026-04-27,x,13041,205,,3,0,0,,,5
2026-04-28,x,13046,235,,1,0,0,,,5
2026-04-29,x,13058,383,,6,1,0,,,12
2026-04-30,x,13065,333,,7,1,0,,,7
2026-05-01,x,13072,673,,2,0,0,,,
2026-05-02,x,13080,796,,9,2,0,,,
2026-05-03,x,13084,525,,5,1,0,,,
2026-05-04,x,13087,564,,3,1,0,,,
2026-05-05,x,13088,382,,3,1,0,,,
2026-05-06,x,13097,356,,1,0,0,,,
2026-05-07,x,13101,380,,6,0,0,,,
2026-05-08,x,13108,440,,6,0,0,,,
2026-05-09,x,13112,474,,1,0,0,,,
2026-05-10,x,13116,920,,0,2,0,,,
2026-05-11,x,13121,292,,0,0,0,,,
2026-05-12,x,13135,433,,0,0,0,,,
2026-05-13,x,13145,509,,3,0,0,,,
2026-05-14,x,13152,448,,4,1,0,,,
2026-05-15,x,13158,433,,2,1,0,,,
2026-05-16,x,13161,361,,1,0,0,,,
2026-05-17,x,13162,193,,1,0,0,,,
2026-05-18,x,13168,364,,3,0,0,,,
2026-05-19,x,13171,298,,4,0,0,,,
2026-05-20,x,13180,216,,1,1,1,,,
2026-05-21,x,13183,252,,3,1,0,,,
2026-05-22,x,13186,221,,0,0,0,,,
2026-05-23,x,13187,181,,0,0,0,,,
2026-05-24,x,13192,206,,0,1,0,,,
2026-05-25,x,13196,229,,2,0,0,,,
2026-05-26,x,13200,152,,2,1,0,,,
